time,x,y,z,vx,vy,vz,roll,pitch,yaw,p,q,r
1.21,6.572977672570974,13.145955345141948,6.927184379441023,2.865772611853421,5.731545223706842,2.5654384550323845,0.0,0.0,0.0,0.0,0.0,0.0
1.22,6.60095557701018,13.20191115402036,6.952004064832011,2.7977904439206127,5.595580887841225,2.4819685390988306,0.0,0.0,0.0,0.0,0.0,0.0
1.23,6.628253463510742,13.256506927021483,6.97598995214964,2.729788650056152,5.459577300112304,2.398588731762882,0.0,0.0,0.0,0.0,0.0,0.0
1.24,6.65487130778042,13.30974261556084,6.999143183608448,2.661784426967822,5.323568853935644,2.315323145880764,0.0,0.0,0.0,0.0,0.0,0.0
1.25,6.680809255780456,13.361618511560913,7.021465139797585,2.5937948000036335,5.187589600007267,2.2321956189137033,0.0,0.0,0.0,0.0,0.0,0.0
1.26,6.706067621986548,13.412135243973095,7.042957436882891,2.5258366206090854,5.051673241218171,2.149229708530638,0.0,0.0,0.0,0.0,0.0,0.0
1.27,6.730646887625081,13.461293775250162,7.06362192376628,2.4579265638533303,4.915853127706661,2.0664486883388453,0.0,0.0,0.0,0.0,0.0,0.0
1.28,6.754547698885323,13.509095397770645,7.0834606792037045,2.3900811260241697,4.780162252048339,1.9838755437424682,0.0,0.0,0.0,0.0,0.0,0.0
1.29,6.7777708651082405,13.555541730216481,7.102476008882994,2.3223166222917953,4.6446332445835905,1.9015329679289323,0.0,0.0,0.0,0.0,0.0,0.0
1.3,6.800317356952652,13.600634713905304,7.120670442462826,2.2546491844411714,4.509298368882343,1.8194433579831528,0.0,0.0,0.0,0.0,0.0,0.0
1.31,6.822188304539382,13.644376609078764,7.13804673057412,2.1870947586729432,4.3741895173458865,1.7376288111294362,0.0,0.0,0.0,0.0,0.0,0.0
1.32,6.843384995574109,13.686769991148218,7.15460784178513,2.119669103472729,4.239338206945458,1.6561111211009183,0.0,0.0,0.0,0.0,0.0,0.0
1.33,6.863908873449596,13.727817746899191,7.170356959531493,2.0523877875486494,4.104775575097299,1.5749117746363548,0.0,0.0,0.0,0.0,0.0,0.0
1.34,6.883761535327965,13.76752307065593,7.185297479012534,1.9852661878369227,3.9705323756738453,1.4940519481040466,0.0,0.0,0.0,0.0,0.0,0.0
1.35,6.902944730203719,13.805889460407437,7.19943300405506,1.9183194875753544,3.836638975150709,1.41355250425263,0.0,0.0,0.0,0.0,0.0,0.0
1.36,6.921460356948164,13.842920713896328,7.212767343945945,1.8515626744445077,3.7031253488890155,1.333433989088452,0.0,0.0,0.0,0.0,0.0,0.0
1.37,6.939310462335928,13.878620924671855,7.225304510234737,1.7850105387763582,3.5700210775527164,1.2537166288791888,0.0,0.0,0.0,0.0,0.0,0.0
1.3800000000000001,6.9564972390542295,13.912994478108459,7.23704871350757,1.7186776718301964,3.4373553436603927,1.174420327283355,0.0,0.0,0.0,0.0,0.0,0.0
